GEN_TPS_1,GEN_TPS_2,DispatchGen
G106346,1,485.76
G106346,2,485.76
G106346,3,485.76
G106346,4,485.76
G106346,5,485.76
G106346,6,485.76
G106346,7,485.76
G106346,8,485.76
G106346,9,485.76
G106346,10,485.76
G106346,11,485.76
G106346,12,485.76
G106346,13,485.76
G106346,14,485.76
G106346,15,485.76
G106346,16,485.76
G106346,17,485.76
G106346,18,485.76
G106346,19,485.76
G106346,20,485.76
G106346,21,485.76
G106346,22,485.76
G106346,23,485.76
G106346,24,485.76
G106346,25,485.76
G106346,26,485.76
G106346,27,485.76
G106346,28,485.76
G106346,29,485.76
G106346,30,485.76
G106346,31,485.76
G106346,32,485.76
G106346,33,485.76
G106346,34,485.76
G106346,35,485.76
G106346,36,485.76
G106346,37,485.76
G106346,38,485.76
G106346,39,485.76
G106346,40,485.76
G106346,41,485.76
G106346,42,485.76
G106346,43,485.76
G106346,44,485.76
G106346,45,485.76
G106346,46,485.76
G106346,47,485.76
G106346,48,485.76
G106346,49,485.7600000000001
G106346,50,485.7600000000001
G106346,51,485.7600000000001
G106346,52,485.7600000000001
G106346,53,485.7600000000001
G106346,54,485.7600000000001
G106346,55,485.7600000000001
G106346,56,485.7600000000001
G106346,57,485.7600000000001
G106346,58,485.7600000000001
G106346,59,485.7600000000001
G106346,60,485.7600000000001
G106346,61,485.7600000000001
G106346,62,485.7600000000001
G106346,63,485.7600000000001
G106346,64,485.7600000000001
G106346,65,485.7600000000001
G106346,66,485.7600000000001
G106346,67,485.7600000000001
G106346,68,485.7600000000001
G106346,69,485.7600000000001
G106346,70,485.7600000000001
G106346,71,485.7600000000001
G106346,72,485.7600000000001
G106347,1,485.76
G106347,2,485.76
G106347,3,485.76
G106347,4,485.76
G106347,5,485.76
G106347,6,485.76
G106347,7,485.76
G106347,8,485.76
G106347,9,485.76
G106347,10,485.76
G106347,11,485.76
G106347,12,485.76
G106347,13,485.76
G106347,14,485.76
G106347,15,485.76
G106347,16,485.76
G106347,17,485.76
G106347,18,485.76
G106347,19,485.76
G106347,20,485.76
G106347,21,485.76
G106347,22,485.76
G106347,23,485.76
G106347,24,485.76
G106347,25,485.76
G106347,26,485.76
G106347,27,485.76
G106347,28,485.76
G106347,29,485.76
G106347,30,485.76
G106347,31,485.76
G106347,32,485.76
G106347,33,485.76
G106347,34,485.76
G106347,35,485.76
G106347,36,485.76
G106347,37,485.76
G106347,38,485.76
G106347,39,485.76
G106347,40,485.76
G106347,41,485.76
G106347,42,485.76
G106347,43,485.76
G106347,44,485.76
G106347,45,485.76
G106347,46,485.76
G106347,47,485.76
G106347,48,485.76
G106347,49,485.7600000000001
G106347,50,485.7600000000001
G106347,51,485.7600000000001
G106347,52,485.7600000000001
G106347,53,485.7600000000001
G106347,54,485.7600000000001
G106347,55,485.7600000000001
G106347,56,485.7600000000001
G106347,57,485.7600000000001
G106347,58,485.7600000000001
G106347,59,485.7600000000001
G106347,60,485.7600000000001
G106347,61,485.7600000000001
G106347,62,485.7600000000001
G106347,63,485.7600000000001
G106347,64,485.7600000000001
G106347,65,485.7600000000001
G106347,66,485.7600000000001
G106347,67,485.7600000000001
G106347,68,485.7600000000001
G106347,69,485.7600000000001
G106347,70,485.7600000000001
G106347,71,485.7600000000001
G106347,72,485.7600000000001
G106348,1,242.88
G106348,2,242.88
G106348,3,242.88
G106348,4,242.88
G106348,5,242.88
G106348,6,242.88
G106348,7,242.88
G106348,8,242.88
G106348,9,242.88
G106348,10,242.88
G106348,11,242.88
G106348,12,242.88
G106348,13,242.88
G106348,14,242.88
G106348,15,242.88
G106348,16,242.88
G106348,17,242.88
G106348,18,242.88
G106348,19,242.88
G106348,20,242.88
G106348,21,242.88
G106348,22,242.88
G106348,23,242.88
G106348,24,242.88
G106348,25,242.88
G106348,26,242.88
G106348,27,242.88
G106348,28,242.88
G106348,29,242.88
G106348,30,242.88
