LOAD_ZONE,TIMEPOINT,zone_demand_mw
inside_lvliang,1,2441.535983
inside_lvliang,2,2424.081988
inside_lvliang,3,2396.420806
inside_lvliang,4,2364.030018
inside_lvliang,5,2336.183154
inside_lvliang,6,2338.782686
inside_lvliang,7,2390.845127
inside_lvliang,8,2493.216553
inside_lvliang,9,2491.179319
inside_lvliang,10,2524.32334
inside_lvliang,11,2441.530728
inside_lvliang,12,2428.718753
inside_lvliang,13,2441.246951
inside_lvliang,14,2338.313229
inside_lvliang,15,2315.758267
inside_lvliang,16,2342.573377
inside_lvliang,17,2395.105275
inside_lvliang,18,2603.009954
inside_lvliang,19,2765.902806
inside_lvliang,20,2809.352111
inside_lvliang,21,2736.488167
inside_lvliang,22,2718.946587
inside_lvliang,23,2621.304767
inside_lvliang,24,2483.380726
inside_lvliang,25,2441.535983
inside_lvliang,26,2424.081988
inside_lvliang,27,2396.420806
inside_lvliang,28,2364.030018
inside_lvliang,29,2336.183154
inside_lvliang,30,2338.782686
inside_lvliang,31,2390.845127
inside_lvliang,32,2493.216553
inside_lvliang,33,2491.179319
inside_lvliang,34,2524.32334
inside_lvliang,35,2441.530728
inside_lvliang,36,2428.718753
inside_lvliang,37,2441.246951
inside_lvliang,38,2338.313229
inside_lvliang,39,2315.758267
inside_lvliang,40,2342.573377
inside_lvliang,41,2395.105275
inside_lvliang,42,2603.009954
inside_lvliang,43,2765.902806
inside_lvliang,44,2809.352111
inside_lvliang,45,2736.488167
inside_lvliang,46,2718.946587
inside_lvliang,47,2621.304767
inside_lvliang,48,2483.380726
inside_lvliang,49,2441.535983
inside_lvliang,50,2424.081988
inside_lvliang,51,2396.420806
inside_lvliang,52,2364.030018
inside_lvliang,53,2336.183154
inside_lvliang,54,2338.782686
inside_lvliang,55,2390.845127
inside_lvliang,56,2493.216553
inside_lvliang,57,2491.179319
inside_lvliang,58,2524.32334
inside_lvliang,59,2441.530728
inside_lvliang,60,2428.718753
inside_lvliang,61,2441.246951
inside_lvliang,62,2338.313229
inside_lvliang,63,2315.758267
inside_lvliang,64,2342.573377
inside_lvliang,65,2395.105275
inside_lvliang,66,2603.009954
inside_lvliang,67,2765.902806
inside_lvliang,68,2809.352111
inside_lvliang,69,2736.488167
inside_lvliang,70,2718.946587
inside_lvliang,71,2621.304767
inside_lvliang,72,2483.380726
inside_lvliang,73,2441.535983
inside_lvliang,74,2424.081988
inside_lvliang,75,2396.420806
inside_lvliang,76,2364.030018
inside_lvliang,77,2336.183154
inside_lvliang,78,2338.782686
inside_lvliang,79,2390.845127
inside_lvliang,80,2493.216553
inside_lvliang,81,2491.179319
inside_lvliang,82,2524.32334
inside_lvliang,83,2441.530728
inside_lvliang,84,2428.718753
inside_lvliang,85,2441.246951
inside_lvliang,86,2338.313229
inside_lvliang,87,2315.758267
inside_lvliang,88,2342.573377
inside_lvliang,89,2395.105275
inside_lvliang,90,2603.009954
inside_lvliang,91,2765.902806
inside_lvliang,92,2809.352111
inside_lvliang,93,2736.488167
inside_lvliang,94,2718.946587
inside_lvliang,95,2621.304767
inside_lvliang,96,2483.380726
outside_lvliang,1,0
outside_lvliang,2,0
outside_lvliang,3,0
outside_lvliang,4,0
outside_lvliang,5,0
outside_lvliang,6,0
outside_lvliang,7,0
outside_lvliang,8,0
outside_lvliang,9,0
outside_lvliang,10,0
outside_lvliang,11,0
outside_lvliang,12,0
outside_lvliang,13,0
outside_lvliang,14,0
outside_lvliang,15,0
outside_lvliang,16,0
outside_lvliang,17,0
outside_lvliang,18,0
outside_lvliang,19,0
outside_lvliang,20,0
outside_lvliang,21,0
outside_lvliang,22,0
outside_lvliang,23,0
outside_lvliang,24,0
outside_lvliang,25,0
outside_lvliang,26,0
outside_lvliang,27,0
outside_lvliang,28,0
outside_lvliang,29,0
outside_lvliang,30,0
outside_lvliang,31,0
outside_lvliang,32,0
outside_lvliang,33,0
outside_lvliang,34,0
outside_lvliang,35,0
outside_lvliang,36,0
outside_lvliang,37,0
outside_lvliang,38,0
outside_lvliang,39,0
outside_lvliang,40,0
outside_lvliang,41,0
outside_lvliang,42,0
outside_lvliang,43,0
outside_lvliang,44,0
outside_lvliang,45,0
outside_lvliang,46,0
outside_lvliang,47,0
outside_lvliang,48,0
outside_lvliang,49,0
outside_lvliang,50,0
outside_lvliang,51,0
outside_lvliang,52,0
outside_lvliang,53,0
outside_lvliang,54,0
outside_lvliang,55,0
outside_lvliang,56,0
outside_lvliang,57,0
outside_lvliang,58,0
outside_lvliang,59,0
outside_lvliang,60,0
outside_lvliang,61,0
outside_lvliang,62,0
outside_lvliang,63,0
outside_lvliang,64,0
outside_lvliang,65,0
outside_lvliang,66,0
outside_lvliang,67,0
outside_lvliang,68,0
outside_lvliang,69,0
outside_lvliang,70,0
outside_lvliang,71,0
outside_lvliang,72,0
outside_lvliang,73,0
outside_lvliang,74,0
outside_lvliang,75,0
outside_lvliang,76,0
outside_lvliang,77,0
outside_lvliang,78,0
outside_lvliang,79,0
outside_lvliang,80,0
outside_lvliang,81,0
outside_lvliang,82,0
outside_lvliang,83,0
outside_lvliang,84,0
outside_lvliang,85,0
outside_lvliang,86,0
outside_lvliang,87,0
outside_lvliang,88,0
outside_lvliang,89,0
outside_lvliang,90,0
outside_lvliang,91,0
outside_lvliang,92,0
outside_lvliang,93,0
outside_lvliang,94,0
outside_lvliang,95,0
outside_lvliang,96,0
