timestamp,C-Central_PV-1,C-Central_PV-2,C-Commercial_PV,C-Residential_PV,C-Wind-1,C-Wind-2,G106344,G106345,G106346,G106347,G106348,G106349,G106470,G106471,G109041,G109042,G111092,G111093,G112778,G112779,G114088,G114089,G114090,N-Central_PV-1,N-Central_PV-2,N-Commercial_PV,N-Residential_PV,N-Wind-1,N-Wind-2,S-Central_PV-1,S-Central_PV-2,S-Commercial_PV,S-Residential_PV,outside_coal
20250121,0,0,0,0,0,0,0,0,485.76,485.76,5.77951,242.88,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20250122,0,0,0,0,0,0,0,0,485.76,485.76,5.77951,242.88,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20250123,0,0,0,0,0,0,0,0,485.76,485.76,5.77951,242.88,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20300100,0,0,0,0,3.1808,2.56452,0,0,485.76,485.76,5.77951,242.88,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,0.206472,0,0,0,0,0,0
20300101,0,0,0,0,3.1808,2.56452,0,0,485.76,485.76,5.77951,242.88,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20300102,0,0,0,0,3.1808,2.56452,0,0,485.76,485.76,5.77951,242.88,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20300103,0,0,0,0,3.1808,2.56452,0,0,485.76,485.76,5.77951,242.88,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20300104,0,0,0,0,3.1808,2.56452,0,0,485.76,485.76,5.77951,242.88,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20300105,0,0,0,0,3.1808,2.56452,0,0,485.76,485.76,5.77951,242.88,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20300106,0,0,0,0,3.1808,2.56452,0,0,485.76,485.76,5.77951,242.88,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20300107,0,0,0,0,3.1808,2.56452,0,0,485.76,485.76,5.77951,242.88,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,0,0.86478,0,0,0,0,0
20300108,0,0,0,0,3.1808,2.56452,0,0,485.76,485.76,5.77951,242.88,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20300109,0,0,0,0,3.1808,2.56452,0,0,485.76,485.76,5.77951,242.88,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20300110,0,0,0,0,3.1808,2.56452,0,0,485.76,485.76,5.77951,242.88,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,0.200923,0,0,0,0,0,0
20300111,0,0,0,0,0,2.56452,0,0,485.76,485.76,5.77951,242.88,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,3.1808,0,0,0,0,0,0
20300112,0,0,0,0,0,2.56452,0,0,485.76,485.76,5.77951,242.88,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,3.1808,0,0,0,0,0,0
20300113,0,0,0,0,0,2.56452,0,0,485.76,485.76,5.77951,242.88,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,3.1808,0,0,0,0,0,0
20300114,0,0,0,0,3.1808,2.56452,0,0,485.76,485.76,5.77951,242.88,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20300115,0,0,0,0,3.1808,2.56452,0,0,485.76,485.76,5.77951,242.88,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20300116,0,0,0,0,3.1808,2.56452,0,0,485.76,485.76,5.77951,242.88,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20300117,0,0,0,0,3.1808,2.56452,0,0,485.76,485.76,5.77951,242.88,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,3.1808,0,0,0,0,0,0
20300118,0,0,0,0,3.1808,2.56452,0,0,485.76,485.76,5.77951,242.88,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,3.1808,0.86478,0,0,0,0,0
20300119,0,0,0,0,3.1808,2.56452,0,0,485.76,485.76,5.77951,242.88,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,3.1808,0.86478,0,0,0,0,0
20300120,0,0,0,0,3.1808,2.56452,0,0,485.76,485.76,5.77951,242.88,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,3.16133,0.86478,0,0,0,0,0
20300121,0,0,0,0,3.1808,2.56452,0,0,485.76,485.76,5.77951,242.88,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20300122,0,0,0,0,3.1808,2.56452,0,0,485.76,485.76,5.77951,242.88,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20300123,0,0,0,0,3.1808,2.56452,0,0,485.76,485.76,5.77951,242.88,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20350100,0,0,0,0,3.1808,2.56452,0,0,485.76,485.76,5.77951,242.88,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,0.206472,0,0,0,0,0,0
