ZONE_TIMEPOINTS_1,ZONE_TIMEPOINTS_2,WithdrawFromCentralGrid
inside_lvliang,1,2578.1794963041184
inside_lvliang,2,2559.7486673706444
inside_lvliang,3,2530.5393938753964
inside_lvliang,4,2496.3358162618797
inside_lvliang,5,2466.930468848997
inside_lvliang,6,2469.6754868004227
inside_lvliang,7,2524.651665258712
inside_lvliang,8,2632.7524318901797
inside_lvliang,9,2630.601181626188
inside_lvliang,10,2665.600147835269
inside_lvliang,11,2578.1739472016898
inside_lvliang,12,2564.6449345300953
inside_lvliang,13,2577.874288278775
inside_lvliang,14,2469.1797560718055
inside_lvliang,15,2445.362478352693
inside_lvliang,16,2473.6783284054914
inside_lvliang,17,2529.150237592397
inside_lvliang,18,2748.690553326294
inside_lvliang,19,2920.6999007391764
inside_lvliang,20,2966.580898627244
inside_lvliang,21,2889.6390359028514
inside_lvliang,22,2871.115720168955
inside_lvliang,23,2768.0092576557554
inside_lvliang,24,2622.36613093981
inside_lvliang,25,2578.1794963041184
inside_lvliang,26,2559.7486673706444
inside_lvliang,27,2530.5393938753964
inside_lvliang,28,2496.3358162618797
inside_lvliang,29,2466.930468848997
inside_lvliang,30,2469.6754868004227
inside_lvliang,31,2524.651665258712
inside_lvliang,32,2632.7524318901797
inside_lvliang,33,2630.601181626188
inside_lvliang,34,2665.600147835269
inside_lvliang,35,2578.1739472016898
inside_lvliang,36,2564.6449345300953
inside_lvliang,37,2577.874288278775
inside_lvliang,38,2469.1797560718055
inside_lvliang,39,2445.362478352693
inside_lvliang,40,2473.6783284054914
inside_lvliang,41,2529.150237592397
inside_lvliang,42,2748.690553326294
inside_lvliang,43,2920.6999007391764
inside_lvliang,44,2966.580898627244
inside_lvliang,45,2889.6390359028514
inside_lvliang,46,2871.115720168955
inside_lvliang,47,2768.0092576557554
inside_lvliang,48,2622.36613093981
inside_lvliang,49,2578.1794963041184
inside_lvliang,50,2559.7486673706444
inside_lvliang,51,2530.5393938753964
inside_lvliang,52,2496.3358162618797
inside_lvliang,53,2466.930468848997
inside_lvliang,54,2469.6754868004227
inside_lvliang,55,2524.651665258712
inside_lvliang,56,2632.7524318901797
inside_lvliang,57,2630.601181626188
inside_lvliang,58,2665.600147835269
inside_lvliang,59,2578.1739472016898
inside_lvliang,60,2564.6449345300953
inside_lvliang,61,2577.874288278775
inside_lvliang,62,2469.1797560718055
inside_lvliang,63,2445.362478352693
inside_lvliang,64,2473.6783284054914
inside_lvliang,65,2529.150237592397
inside_lvliang,66,2748.690553326294
inside_lvliang,67,2920.6999007391764
inside_lvliang,68,2966.580898627244
inside_lvliang,69,2889.6390359028514
inside_lvliang,70,2871.115720168955
inside_lvliang,71,2768.0092576557554
inside_lvliang,72,2622.36613093981
inside_lvliang,73,2578.1794963041184
inside_lvliang,74,2559.7486673706444
inside_lvliang,75,2530.5393938753964
inside_lvliang,76,2496.3358162618797
inside_lvliang,77,2466.930468848997
inside_lvliang,78,2469.6754868004227
inside_lvliang,79,2524.651665258712
inside_lvliang,80,2632.7524318901797
inside_lvliang,81,2630.601181626188
inside_lvliang,82,2665.600147835269
inside_lvliang,83,2578.1739472016898
inside_lvliang,84,2564.6449345300953
inside_lvliang,85,2577.874288278775
inside_lvliang,86,2469.1797560718055
inside_lvliang,87,2445.362478352693
inside_lvliang,88,2473.6783284054914
inside_lvliang,89,2529.150237592397
inside_lvliang,90,2748.690553326294
inside_lvliang,91,2920.6999007391764
inside_lvliang,92,2966.580898627244
inside_lvliang,93,2889.6390359028514
inside_lvliang,94,2871.115720168955
inside_lvliang,95,2768.0092576557554
inside_lvliang,96,2622.36613093981
outside_lvliang,1,1055.9662090813094
outside_lvliang,2,1055.9662090813094
outside_lvliang,3,1055.9662090813094
outside_lvliang,4,1055.9662090813094
outside_lvliang,5,1055.9662090813094
outside_lvliang,6,1055.9662090813094
outside_lvliang,7,1055.9662090813094
outside_lvliang,8,1055.9662090813094
outside_lvliang,9,1055.9662090813094
outside_lvliang,10,1055.9662090813094
outside_lvliang,11,1055.9662090813094
outside_lvliang,12,1055.9662090813094
outside_lvliang,13,1055.9662090813094
outside_lvliang,14,1055.9662090813094
