timestamp,G106344,G106345,G106346,G106347,G106348,G106349,G106470,G106470_H2,G106471,G109041,G109041_H2,G109042,G109042_H2,G111092,G111093,G112778,G112779,G114088,G114089,G114090,H2,outside_coal,outside_coal_H2,s1,s10,s11,s2,s3,s4,s5,s6,s7,s8,s9,w1,w10,w11,w2,w3,w4,w5,w6,w7,w8,w9
20200100,0,0,485.76,485.76,242.88,242.88,283.36,0,283.36,242.88,0,242.88,0,0,0,0,0,109.296,0.89765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156.728,3.94887,0,0,0,3.65727,38.256,0,10.5052,13.6814,20.658
20200101,0,0,485.76,485.76,242.88,242.88,283.36,0,283.36,242.88,0,242.88,0,0,0,0,0,109.296,0.89765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.2792,3.81434,1.92175,1.41454,55.4363,3.48278,36.9784,0,10.1308,13.5307,20.0146
20200102,0,0,485.76,485.76,242.88,242.88,283.36,0,283.36,242.88,0,242.88,0,0,0,0,0,109.296,0.89765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,329.229,3.71819,1.88683,1.3172,53.4448,3.24626,35.5434,13.9726,9.69481,13.4178,19.5393
20200103,0,0,485.76,485.76,242.88,242.88,283.36,0,283.36,242.88,0,242.88,0,0,0,0,0,109.296,0.89765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145.069,0,0,0,0,0,0,13.4983,0,0,19.064
20200104,0,0,485.76,485.76,242.88,242.88,283.36,0,283.36,242.88,0,242.88,0,0,0,0,0,109.296,0.89765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300.706,0,0,1.12252,49.4618,2.77322,32.6736,13.0239,0,0,0
20200105,0,0,485.76,485.76,242.88,242.88,283.36,0,283.36,242.88,0,242.88,0,0,0,0,0,109.296,0.89765,0,0,0,0,0,0,0,0,6.12943,0,0,0,0,0,0,198.287,0,1.74655,0,0,0,0,0,0,0,18.0907
20200106,0,0,485.76,485.76,242.88,242.88,283.36,0,283.36,242.88,0,242.88,0,0,0,0,0,109.296,0.89765,0,0,0,0,6.39445,0,0,0.00379436,12.2589,2.2038,7.06702,0.00374112,1.68625,2.91495,0,281.191,3.388,1.67611,1.10049,45.3793,2.70096,31.3609,12.5022,8.55538,14.1422,17.5927
20200107,0,0,485.76,485.76,242.88,242.88,283.36,0,283.36,242.88,0,242.88,0,0,0,0,0,109.296,0.89765,0,0,0,0,9.59168,0,0,0.00569154,18.3883,3.30569,10.6005,0,2.52938,4.37243,0,271.434,3.31906,1.60567,1.08947,43.338,2.66483,30.7046,12.2413,8.42168,14.6173,17.0948
20200108,0,0,485.76,485.76,242.88,242.88,283.36,0,283.36,242.88,0,242.88,0,0,0,0,0,109.296,0.89765,0,0,0,0,31.4837,0,0,0.0182124,57.9075,10.5779,32.4567,0,7.88982,13.2415,0,315.645,4.13733,1.91192,1.54692,51.8558,3.74302,37.9769,15.8904,10.6891,17.9238,20.7221
20200109,0,0,485.76,485.76,242.88,242.88,283.36,0,283.36,242.88,0,242.88,0,0,0,0,0,109.296,0.89765,0,0,0,0,53.3492,0,0,0,97.3758,17.841,54.2835,0,13.2432,22.0985,0,360.496,4.95376,2.21912,2.01879,60.6115,4.85525,45.5042,19.5666,13.0062,21.3131,24.3466
202001010,0,0,485.76,485.76,242.88,242.88,283.36,0,283.36,242.88,0,242.88,0,0,0,0,0,109.296,0.89765,0,0,0,0,75.0485,0,0,0,136.543,25.0505,75.9671,0.043235,18.5552,30.8922,0,404.221,5.75417,2.51931,2.48374,69.1745,5.9509,52.8842,23.1791,15.2808,24.6337,27.9065
202001011,0,0,485.76,485.76,242.88,242.88,283.36,0,283.36,242.88,0,242.88,0,0,0,0,0,109.296,0.89765,0,0,0,0,89.1363,0,0,0,0,0,26.7594,0,21.7725,0,0,417.636,6.13656,2.64975,2.69621,73.8854,6.45687,56.3925,0,16.3639,25.4583,0
202001012,0,0,485.76,485.76,242.88,242.88,283.36,0,283.36,242.88,0,242.88,0,0,0,0,0,109.296,0.89765,0,0,0,0,103.224,0,0,0,186.363,0,0,0,24.9898,0,0,271.744,6.51894,2.7802,2.90868,78.5964,6.96284,0,25.6814,17.4471,0,31.3559
202001013,0,0,485.76,485.76,242.88,242.88,283.36,0,283.36,242.88,0,242.88,0,0,0,0,0,109.296,0.89765,0,0,0,0,117.312,0,0,0,112.835,38.7973,0,0.0665173,0,46.5097,0,444.464,6.90133,2.91064,3.12115,0,7.46881,63.409,26.9326,18.5302,27.1073,33.0806
202001014,0,0,485.76,485.76,242.88,242.88,283.36,0,283.36,242.88,0,242.88,0,0,0,0,0,109.296,0.89765,0,0,0,0,105.692,0,0,0,189.738,0,0,0.0595614,25.1835,41.3402,0,424.017,6.52165,2.75305,2.85419,0,6.83722,43.5174,24.8818,0,25.4924,31.51
202001015,0,0,485.76,485.76,242.88,242.88,283.36,0,283.36,242.88,0,242.88,0,0,0,0,0,109.296,0.89765,0,0,0,0,94.072,0,0,0,168.203,0,0,0,22.1599,36.1706,0,403.57,6.14196,2.59546,2.58724,71.4746,6.20564,56.7168,22.8309,15.8482,23.8775,21.4911
202001016,0,0,485.76,485.76,242.88,242.88,283.36,0,283.36,242.88,0,242.88,0,0,0,0,0,109.296,0.89765,0,0,0,0,82.4519,0,0,0,146.668,27.1635,79.5271,0,19.1363,31.001,0,383.122,5.76228,2.43787,2.32028,65.5583,5.57406,53.3706,20.7801,14.5072,22.2626,28.3689
